         271606 function calls (271307 primitive calls) in 1.863 seconds

   Ordered by: cumulative time
   List reduced from 274 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.187    0.187    1.863    1.863 C:\Users\AtTheZenith\Pictures\quranmedialib\profile_bottleneck.py:8(run_simulated_surah)
      572    0.010    0.000    1.623    0.003 C:\Users\AtTheZenith\Pictures\quranmedialib\src\quranmedialib\workflows\verse.py:70(get_iterator)
     1433    0.005    0.000    0.586    0.000 C:\Users\AtTheZenith\Pictures\quranmedialib\.venv\Lib\site-packages\PIL\Image.py:3072(new)
     2007    0.571    0.000    0.571    0.000 {built-in method PIL._imaging.fill}
      286    0.001    0.000    0.534    0.002 C:\Users\AtTheZenith\Pictures\quranmedialib\src\quranmedialib\modules\frame.py:21(__init__)
      286    0.002    0.000    0.404    0.001 C:\Users\AtTheZenith\Pictures\quranmedialib\src\quranmedialib\modules\timage.py:393(__getitem__)
      286    0.007    0.000    0.402    0.001 C:\Users\AtTheZenith\Pictures\quranmedialib\src\quranmedialib\modules\timage.py:85(get_timage)
      574    0.004    0.000    0.316    0.001 C:\Users\AtTheZenith\Pictures\quranmedialib\.venv\Lib\site-packages\PIL\ImageDraw.py:538(text)
      574    0.006    0.000    0.309    0.001 C:\Users\AtTheZenith\Pictures\quranmedialib\.venv\Lib\site-packages\PIL\ImageDraw.py:596(draw_text)
      286    0.005    0.000    0.292    0.001 C:\Users\AtTheZenith\Pictures\quranmedialib\src\quranmedialib\modules\verse_number.py:31(verse_number)
      574    0.001    0.000    0.276    0.000 C:\Users\AtTheZenith\Pictures\quranmedialib\.venv\Lib\site-packages\PIL\ImageFont.py:538(getmask2)
      574    0.269    0.000    0.274    0.000 {method 'render' of 'Font' objects}
      286    0.006    0.000    0.193    0.001 C:\Users\AtTheZenith\Pictures\quranmedialib\src\quranmedialib\modules\timage.py:255(_parse_rich_text)
     1144    0.002    0.000    0.180    0.000 C:\Users\AtTheZenith\Pictures\quranmedialib\.venv\Lib\site-packages\PIL\ImageFont.py:302(getlength)
     1144    0.177    0.000    0.177    0.000 {method 'getlength' of 'Font' objects}
      858    0.006    0.000    0.175    0.000 C:\Users\AtTheZenith\Pictures\quranmedialib\.venv\Lib\site-packages\PIL\Image.py:1830(alpha_composite)
      286    0.006    0.000    0.165    0.001 C:\Users\AtTheZenith\Pictures\quranmedialib\src\quranmedialib\modules\vimage.py:245(render)
      572    0.004    0.000    0.147    0.000 C:\Users\AtTheZenith\Pictures\quranmedialib\src\quranmedialib\modules\frame.py:30(layer)
     1431    0.006    0.000    0.143    0.000 C:\Users\AtTheZenith\Pictures\quranmedialib\.venv\Lib\site-packages\PIL\Image.py:1738(paste)
     1431    0.125    0.000    0.125    0.000 {method 'paste' of 'ImagingCore' objects}
      860    0.005    0.000    0.092    0.000 C:\Users\AtTheZenith\Pictures\quranmedialib\src\quranmedialib\database_manager.py:316(_fetch)
